question_type,position,question,reponse,score,profile_type,commentaire-questions,commentaire-reponses,ordre
screening,1,Connaissez-vous l'intelligence artificielle ?,"Oui, je suis un expert en IA, avec une profonde connaissance des dernières recherches et des applications pratiques dans divers secteurs",4,Machine Learning Engineer,,,
screening,1,Connaissez-vous l'intelligence artificielle ?,"Oui, j'ai une solide compréhension théorique et pratique de l'IA, avec une expérience dans l'application de ces technologies dans des projets réels",3,Machine Learning Engineer,,,
screening,1,Connaissez-vous l'intelligence artificielle ?,"Oui, j'ai une connaissance de base des concepts d'IA et de machine learning, principalement acquise à travers des lectures en ligne.",2,Machine Learning Engineer,,,
screening,1,Connaissez-vous l'intelligence artificielle ?,"Non, je ne m'y connais absolument pas",1,Machine Learning Engineer,,,
screening,2,Quels types d'algorithme savez-vous construire ?,"Je peux concevoir et entraîner des modèles de deep learning complexes, comme les CNN et les RNN, pour des tâches spécifiques",4,Machine Learning Engineer,,,
screening,2,Quels types d'algorithme savez-vous construire ?,"Je peux mettre en œuvre des algorithmes simple comme ceux de classification et de régression simples, tels que la régression linéaire et K-NN ou autres petits algorithmes",3,Machine Learning Engineer,,,
screening,2,Quels types d'algorithme savez-vous construire ?,"Je maîtrise la mise en œuvre d'algorithmes avancés, y compris les SVM et les réseaux neuronaux",2,Machine Learning Engineer,,,
screening,2,Quels types d'algorithme savez-vous construire ?,Non je sais pas construire d'algorithme,1,Machine Learning Engineer,,,
expertise,1,Savez-vous programmer des modèles d'IA  ?,"Oui, je suis expert en programmation de modèles d'IA, capable d'optimiser et de personnaliser des architectures de modèles pour des performances maximales selon plusieurs languages",4,Machine Learning Engineer,,,
expertise,1,Savez-vous programmer des modèles d'IA  ?,"Oui, je peux programmer des modèles complexes en utilisant des frameworks avancés comme TensorFlow et/ou PyTorch",3,Machine Learning Engineer,,,
expertise,1,Savez-vous programmer des modèles d'IA  ?,"Oui, je connais les bases de la programmation en Python et/ou R pour le machine learning",2,Machine Learning Engineer,,,
expertise,1,Savez-vous programmer des modèles d'IA  ?,Je ne sais pas construire d'algorithme,1,Machine Learning Engineer,,,
expertise,2,Savez-vous utiliser des bibliothèques telles que Keras et Theano pour manipuler des données de ML ?,"Oui, je suis un utilisateur avancé, capable de créer des architectures de modèles complexes et d'optimiser les performances. J'utilise aussi d'autres bibliothèques plus spécifiques pour certaines tâches",4,Machine Learning Engineer,,,
expertise,2,Savez-vous utiliser des bibliothèques telles que Keras et Theano pour manipuler des données de ML ?,"Je maîtrise et j'ai une bonne compréhensions de ces bibliothèques, voire d'autres bibliothèques",3,Machine Learning Engineer,,,
expertise,2,Savez-vous utiliser des bibliothèques telles que Keras et Theano pour manipuler des données de ML ?,"Oui, j'ai une expérience de base pour la construction de réseaux neuronaux simples",2,Machine Learning Engineer,,,
expertise,2,Savez-vous utiliser des bibliothèques telles que Keras et Theano pour manipuler des données de ML ?,"Non, je ne sais pas manipuler des données de ML",1,Machine Learning Engineer,,,
mastery,1,"Êtes-vous familiarisé avec l'utilisation de feature stores pour améliorer l'efficacité des processus de ML ?
","Oui, j'ai une expertise approfondie dans l'utilisation et l'implémentation de feature stores complexes pour des entreprises, améliorant significativement l'efficacité et la réutilisation dans les processus de ML",4,Machine Learning Engineer,,,
mastery,1,Êtes-vous familiarisé avec l'utilisation de feature stores pour améliorer l'efficacité des processus de ML ?,Je suis assez à l'aise avec les feature stores; j'ai mis en place des feature stores en utilisant des outils populaires comme Feast dans des environnements de développement ainsi que d'autres,3,Machine Learning Engineer,,,
mastery,1,Êtes-vous familiarisé avec l'utilisation de feature stores pour améliorer l'efficacité des processus de ML ?,"Oui, j'ai une compréhension basique des feature stores et j'ai utilisé des solutions simples comme Featuretools pour des projets personnels ainsi que d'autres",2,Machine Learning Engineer,,,
mastery,1,Êtes-vous familiarisé avec l'utilisation de feature stores pour améliorer l'efficacité des processus de ML ?,Je ne sais pas à l'aise avec les feature stores,1,Machine Learning Engineer,,,
mastery,2,Savez-vous orchestrer des pipelines de données pour l'extraction de caractéristiques et le ré-entraînement de modèles ?,"Oui, j'ai une expertise avancée dans l'orchestration de pipelines de données complexes pour des environnements de production à grande échelle, en utilisant des technologies comme Kubeflow ainsi que d'autres pour gérer efficacement l'extraction de caractéristiques et le ré-entraînement automatique des modèles",4,Machine Learning Engineer,,,
mastery,2,Savez-vous orchestrer des pipelines de données pour l'extraction de caractéristiques et le ré-entraînement de modèles ?,"Je suis compétent dans l'orchestration de pipelines de données, ayant utilisé Apache Airflow pour automatiser l'extraction de caractéristiques et le ré-entraînement de modèles sur des projets de taille moyenne",3,Machine Learning Engineer,,,
mastery,2,Savez-vous orchestrer des pipelines de données pour l'extraction de caractéristiques et le ré-entraînement de modèles ?,"J'ai une expérience limitée dans l'orchestration de pipelines de données, principalement en utilisant des outils comme Apache NiFi ou d'autres pour des tâches simples d'extraction de caractéristiques",2,Machine Learning Engineer,,,
mastery,2,Savez-vous orchestrer des pipelines de données pour l'extraction de caractéristiques et le ré-entraînement de modèles ?,"Non, je ne sais pas faire de réentrainement",1,Machine Learning Engineer,,,
mastery,3,"Savez-vous intégrer et évaluer la performance de modèles ML au sein d'APIs, garantissant ainsi leur efficacité et de gérer efficacement les coûts liés à l'utilisation de modèles ?
","Oui, j'ai une expertise approfondie dans l'intégration de modèle de ML dans d'APIs, avec une forte attention portée à l'optimisation de la latence, à l'efficacité du modèle et à la gestion des coûts, en utilisant des techniques avancées pour le monitoring, l'évaluation, et l'ajustement des performances en temps réel.",4,Machine Learning Engineer,,,
mastery,3,"Savez-vous intégrer et évaluer la performance de modèles ML au sein d'APIs, garantissant ainsi leur efficacité et de gérer efficacement les coûts liés à l'utilisation de modèles ?
","Oui, j'ai une expérience basique avec l'intégration de modèles ML simples dans des APIs, mais je suis encore en train d'apprendre à optimiser la performance et les coûts.",3,Machine Learning Engineer,,,
mastery,3,"Savez-vous intégrer et évaluer la performance de modèles ML au sein d'APIs, garantissant ainsi leur efficacité et de gérer efficacement les coûts liés à l'utilisation de modèles ?
","Je suis assez compétent dans l'intégration de modèles ML dans des APIs et j'ai utilisé des outils de monitoring pour évaluer leur performance, tout en ayant une conscience des coûts associés.",2,Machine Learning Engineer,,,
